Прайс-лист,,,,,
,,,,,
,,,,,
Лампи для проекторів,,,,,
№,Артикул,Наименование,URL,Наличие,Цена (грн.)
1,OSRAM,Лампа VLT-XD600LP Оригинальная лампа,https://buygadget.com.ua/lampa-vlt-xd600lp/,Есть,"4 940,00"
2,OSRAM,Лампа VLT-XD600LP Оригинальная лампа в оригинальном модуле,https://buygadget.com.ua/lampa-vlt-xd600lp/?sku=609,Есть,"5 740,00"
3,EPSON,Лампа ELPLP50 (V13H010L50) Оригінальная лампа ,https://buygadget.com.ua/lampa-v13h010l50/,Есть,"3 506,00"
4,EPSON,Лампа ELPLP50 (V13H010L50) Оригінальная лампа в модулі,https://buygadget.com.ua/lampa-v13h010l50/?sku=625,Есть,"4 306,00"
5,Ushio,Лампа VT80LP Оригинальная лампа,https://buygadget.com.ua/lampa-vt80lp/,Есть,"4 939,00"
6,Ushio,Лампа VT80LP Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-vt80lp/?sku=647,Есть,"5 739,00"
7,PHILIPS,Лампа Philips UHP 200/150w 1.0 E19.5,https://buygadget.com.ua/lampa-philips-uhp-200150w-10-e195/,Есть,"3 151,00"
8,,Лампа OSRAM P-VIP 100-120/1.0 P22h ,https://buygadget.com.ua/lampa-osram-p-vip-100-12010-p22h/,Есть,"3 400,00"
9,RLC-057,Лампа RLC-057  Оригинальная лампа,https://buygadget.com.ua/lampa-rlc-057/,Есть,"4 103,00"
10,RLC-057,Лампа RLC-057  Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-rlc-057/?sku=1247,Есть,"4 903,00"
11,OSRAM,Лампа MC.JK211.00B Оригинальная лампа ,https://buygadget.com.ua/lampa-mcjk21100b/,Есть,"3 920,00"
12,OSRAM,Лампа MC.JK211.00B Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-mcjk21100b/?sku=1283,Есть,"4 720,00"
13,,Лампа MC.JN811.001 Оригинальная лампа,https://buygadget.com.ua/lampa-mcjn811001/,Есть,"3 099,00"
14,,Лампа MC.JN811.001 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-mcjn811001/?sku=1286,Есть,"3 899,00"
15,EPSON ,Лампа ELPLP88 (V13H010L88)  Оригінальна лампа ,https://buygadget.com.ua/lampa-elplp88-v13h010l88/,Есть,"4 700,00"
16,EPSON ,Лампа ELPLP88 (V13H010L88)  Оригінальна лампа в модулі,https://buygadget.com.ua/lampa-elplp88-v13h010l88/?sku=1288,Есть,"7 100,00"
17,RLC-071,Лампа RLC-071 Оригинальная лампа ,https://buygadget.com.ua/lampa-rlc-071/,Есть,"4 214,00"
18,RLC-071,Лампа RLC-071 Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-rlc-071/?sku=1290,Есть,"5 014,00"
19,OSRAM,Лампа RLC-092 Оригинальная лампа ,https://buygadget.com.ua/lampa-rlc-092/,Есть,"5 635,00"
20,OSRAM,Лампа RLC-092 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-rlc-092/?sku=1292,Есть,"6 435,00"
21,,Лампа RLC-030 Оригинальная лампа,https://buygadget.com.ua/lampa-rlc-030/,Есть,"4 882,00"
22,,Лампа RLC-030 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-rlc-030/?sku=1294,Есть,"5 682,00"
23,,Лампа RLC-061 Оригинальная лампа ,https://buygadget.com.ua/lampa-rlc-061/,Есть,"3 880,00"
